mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,power_to_weight_ratio
12.0,8,350.0,180.0,4499.0,12.5,73,1,oldsmobile vista cruiser,24.994444444444444
18.0,6,232.0,100.0,2789.0,15.0,73,1,amc gremlin,27.89
20.0,4,97.0,88.0,2279.0,19.0,73,3,toyota carina,25.897727272727273
21.0,4,140.0,72.0,2401.0,19.5,73,1,chevrolet vega,33.34722222222222
22.0,4,108.0,94.0,2379.0,16.5,73,3,datsun 610,25.30851063829787
18.0,3,70.0,90.0,2124.0,13.5,73,3,maxda rx3,23.6
19.0,4,122.0,85.0,2310.0,18.5,73,1,ford pinto,27.176470588235293
21.0,6,155.0,107.0,2472.0,14.0,73,1,mercury capri v6,23.102803738317757
26.0,4,98.0,90.0,2265.0,15.5,73,2,fiat 124 sport coupe,25.166666666666668
15.0,8,350.0,145.0,4082.0,13.0,73,1,chevrolet monte carlo s,28.151724137931033
16.0,8,400.0,230.0,4278.0,9.5,73,1,pontiac grand prix,18.6
29.0,4,68.0,49.0,1867.0,19.5,73,2,fiat 128,38.10204081632653
24.0,4,116.0,75.0,2158.0,15.5,73,2,opel manta,28.773333333333333
20.0,4,114.0,91.0,2582.0,14.0,73,2,audi 100ls,28.373626373626372
19.0,4,121.0,112.0,2868.0,15.5,73,2,volvo 144ea,25.607142857142858
15.0,8,318.0,150.0,3399.0,11.0,73,1,dodge dart custom,22.66
24.0,4,121.0,110.0,2660.0,14.0,73,2,saab 99le,24.181818181818183
20.0,6,156.0,122.0,2807.0,13.5,73,3,toyota mark ii,23.008196721311474
11.0,8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega,20.355555555555554
20.0,6,198.0,95.0,3102.0,16.5,74,1,plymouth duster,32.65263157894737
19.0,6,232.0,100.0,2901.0,16.0,74,1,amc hornet,29.01
15.0,6,250.0,100.0,3336.0,17.0,74,1,chevrolet nova,33.36
31.0,4,79.0,67.0,1950.0,19.0,74,3,datsun b210,29.104477611940297
26.0,4,122.0,80.0,2451.0,16.5,74,1,ford pinto,30.6375
32.0,4,71.0,65.0,1836.0,21.0,74,3,toyota corolla 1200,28.246153846153845
25.0,4,140.0,75.0,2542.0,17.0,74,1,chevrolet vega,33.89333333333333
16.0,6,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic,37.81
16.0,6,258.0,110.0,3632.0,18.0,74,1,amc matador,33.018181818181816
18.0,6,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring,34.40952380952381
16.0,8,302.0,140.0,4141.0,14.0,74,1,ford gran torino,29.57857142857143
13.0,8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw),31.326666666666668
14.0,8,318.0,150.0,4457.0,13.5,74,1,dodge coronet custom (sw),29.713333333333335
14.0,8,302.0,140.0,4638.0,16.0,74,1,ford gran torino (sw),33.128571428571426
14.0,8,304.0,150.0,4257.0,15.5,74,1,amc matador (sw),28.38
29.0,4,98.0,83.0,2219.0,16.5,74,2,audi fox,26.734939759036145
26.0,4,79.0,67.0,1963.0,15.5,74,2,volkswagen dasher,29.29850746268657
26.0,4,97.0,78.0,2300.0,14.5,74,2,opel manta,29.487179487179485
31.0,4,76.0,52.0,1649.0,16.5,74,3,toyota corona,31.71153846153846
32.0,4,83.0,61.0,2003.0,19.0,74,3,datsun 710,32.83606557377049
28.0,4,90.0,75.0,2125.0,14.5,74,1,dodge colt,28.333333333333332
24.0,4,90.0,75.0,2108.0,15.5,74,2,fiat 128,28.106666666666666
26.0,4,116.0,75.0,2246.0,14.0,74,2,fiat 124 tc,29.946666666666665
24.0,4,120.0,97.0,2489.0,15.0,74,3,honda civic,25.65979381443299
26.0,4,108.0,93.0,2391.0,15.5,74,3,subaru,25.70967741935484
31.0,4,79.0,67.0,2000.0,16.0,74,2,fiat x1.9,29.850746268656717
19.0,6,225.0,95.0,3264.0,16.0,75,1,plymouth valiant custom,34.357894736842105
18.0,6,250.0,105.0,3459.0,16.0,75,1,chevrolet nova,32.94285714285714
15.0,6,250.0,72.0,3432.0,21.0,75,1,mercury monarch,47.666666666666664
15.0,6,250.0,72.0,3158.0,19.5,75,1,ford maverick,43.861111111111114
16.0,8,400.0,170.0,4668.0,11.5,75,1,pontiac catalina,27.458823529411763
15.0,8,350.0,145.0,4440.0,14.0,75,1,chevrolet bel air,30.620689655172413
16.0,8,318.0,150.0,4498.0,14.5,75,1,plymouth grand fury,29.986666666666668
14.0,8,351.0,148.0,4657.0,13.5,75,1,ford ltd,31.466216216216218
17.0,6,231.0,110.0,3907.0,21.0,75,1,buick century,35.518181818181816
16.0,6,250.0,105.0,3897.0,18.5,75,1,chevroelt chevelle malibu,37.114285714285714
15.0,6,258.0,110.0,3730.0,19.0,75,1,amc matador,33.90909090909091
18.0,6,225.0,95.0,3785.0,19.0,75,1,plymouth fury,39.8421052631579
21.0,6,231.0,110.0,3039.0,15.0,75,1,buick skyhawk,27.62727272727273
20.0,8,262.0,110.0,3221.0,13.5,75,1,chevrolet monza 2+2,29.28181818181818
13.0,8,302.0,129.0,3169.0,12.0,75,1,ford mustang ii,24.565891472868216
29.0,4,97.0,75.0,2171.0,16.0,75,3,toyota corolla,28.946666666666665
23.0,4,140.0,83.0,2639.0,17.0,75,1,ford pinto,31.795180722891565
20.0,6,232.0,100.0,2914.0,16.0,75,1,amc gremlin,29.14
23.0,4,140.0,78.0,2592.0,18.5,75,1,pontiac astro,33.23076923076923
24.0,4,134.0,96.0,2702.0,13.5,75,3,toyota corona,28.145833333333332
25.0,4,90.0,71.0,2223.0,16.5,75,2,volkswagen dasher,31.309859154929576
24.0,4,119.0,97.0,2545.0,17.0,75,3,datsun 710,26.237113402061855
18.0,6,171.0,97.0,2984.0,14.5,75,1,ford pinto,30.762886597938145
29.0,4,90.0,70.0,1937.0,14.0,75,2,volkswagen rabbit,27.67142857142857
19.0,6,232.0,90.0,3211.0,17.0,75,1,amc pacer,35.67777777777778
23.0,4,115.0,95.0,2694.0,15.0,75,2,audi 100ls,28.357894736842105
23.0,4,120.0,88.0,2957.0,17.0,75,2,peugeot 504,33.60227272727273
22.0,4,121.0,98.0,2945.0,14.5,75,2,volvo 244dl,30.051020408163264
25.0,4,121.0,115.0,2671.0,13.5,75,2,saab 99le,23.22608695652174
33.0,4,91.0,53.0,1795.0,17.5,75,3,honda civic cvcc,33.867924528301884
28.0,4,107.0,86.0,2464.0,15.5,76,2,fiat 131,28.651162790697676
25.0,4,116.0,81.0,2220.0,16.9,76,2,opel 1900,27.40740740740741
25.0,4,140.0,92.0,2572.0,14.9,76,1,capri ii,27.956521739130434
26.0,4,98.0,79.0,2255.0,17.7,76,1,dodge colt,28.544303797468356
27.0,4,101.0,83.0,2202.0,15.3,76,2,renault 12tl,26.53012048192771
17.5,8,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic,30.107142857142858
16.0,8,318.0,150.0,4190.0,13.0,76,1,dodge coronet brougham,27.933333333333334
15.5,8,304.0,120.0,3962.0,13.9,76,1,amc matador,33.016666666666666
14.5,8,351.0,152.0,4215.0,12.8,76,1,ford gran torino,27.730263157894736
22.0,6,225.0,100.0,3233.0,15.4,76,1,plymouth valiant,32.33
22.0,6,250.0,105.0,3353.0,14.5,76,1,chevrolet nova,31.933333333333334
24.0,6,200.0,81.0,3012.0,17.6,76,1,ford maverick,37.18518518518518
22.5,6,232.0,90.0,3085.0,17.6,76,1,amc hornet,34.27777777777778
29.0,4,85.0,52.0,2035.0,22.2,76,1,chevrolet chevette,39.13461538461539
24.5,4,98.0,60.0,2164.0,22.1,76,1,chevrolet woody,36.06666666666667
29.0,4,90.0,70.0,1937.0,14.2,76,2,vw rabbit,27.67142857142857
33.0,4,91.0,53.0,1795.0,17.4,76,3,honda civic,33.867924528301884
20.0,6,225.0,100.0,3651.0,17.7,76,1,dodge aspen se,36.51
18.0,6,250.0,78.0,3574.0,21.0,76,1,ford granada ghia,45.82051282051282
18.5,6,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj,33.13636363636363
17.5,6,258.0,95.0,3193.0,17.8,76,1,amc pacer d/l,33.61052631578947
29.5,4,97.0,71.0,1825.0,12.2,76,2,volkswagen rabbit,25.704225352112676
32.0,4,85.0,70.0,1990.0,17.0,76,3,datsun b-210,28.428571428571427
28.0,4,97.0,75.0,2155.0,16.4,76,3,toyota corolla,28.733333333333334
26.5,4,140.0,72.0,2565.0,13.6,76,1,ford pinto,35.625
20.0,4,130.0,102.0,3150.0,15.7,76,2,volvo 245,30.88235294117647
13.0,8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8,26.266666666666666
19.0,4,120.0,88.0,3270.0,21.9,76,2,peugeot 504,37.15909090909091
19.0,6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii,27.12962962962963
16.5,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s,31.833333333333332
16.5,8,350.0,180.0,4380.0,12.1,76,1,cadillac seville,24.333333333333332
13.0,8,350.0,145.0,4055.0,12.0,76,1,chevy c10,27.96551724137931
13.0,8,302.0,130.0,3870.0,15.0,76,1,ford f108,29.76923076923077
13.0,8,318.0,150.0,3755.0,14.0,76,1,dodge d100,25.033333333333335
31.5,4,98.0,68.0,2045.0,18.5,77,3,honda accord cvcc,30.073529411764707
30.0,4,111.0,80.0,2155.0,14.8,77,1,buick opel isuzu deluxe,26.9375
36.0,4,79.0,58.0,1825.0,18.6,77,2,renault 5 gtl,31.46551724137931
25.5,4,122.0,96.0,2300.0,15.5,77,1,plymouth arrow gs,23.958333333333332
33.5,4,85.0,70.0,1945.0,16.8,77,3,datsun f-10 hatchback,27.785714285714285
17.5,8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic,26.75862068965517
17.0,8,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme,36.90909090909091
15.5,8,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham,28.551724137931036
15.0,8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham,33.03846153846154
17.5,6,250.0,110.0,3520.0,16.4,77,1,chevrolet concours,32.0
20.5,6,231.0,105.0,3425.0,16.9,77,1,buick skylark,32.61904761904762
19.0,6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom,36.3
18.5,6,250.0,98.0,3525.0,19.0,77,1,ford granada,35.96938775510204
16.0,8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj,23.444444444444443
15.5,8,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau,24.5
15.5,8,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba,22.763157894736842
16.0,8,351.0,149.0,4335.0,14.5,77,1,ford thunderbird,29.093959731543624
29.0,4,97.0,78.0,1940.0,14.5,77,2,volkswagen rabbit custom,24.871794871794872
24.5,4,151.0,88.0,2740.0,16.0,77,1,pontiac sunbird coupe,31.136363636363637
26.0,4,97.0,75.0,2265.0,18.2,77,3,toyota corolla liftback,30.2
25.5,4,140.0,89.0,2755.0,15.8,77,1,ford mustang ii 2+2,30.95505617977528
30.5,4,98.0,63.0,2051.0,17.0,77,1,chevrolet chevette,32.55555555555556
33.5,4,98.0,83.0,2075.0,15.9,77,1,dodge colt m/m,25.0
30.0,4,97.0,67.0,1985.0,16.4,77,3,subaru dl,29.62686567164179
30.5,4,97.0,78.0,2190.0,14.1,77,2,volkswagen dasher,28.076923076923077
22.0,6,146.0,97.0,2815.0,14.5,77,3,datsun 810,29.02061855670103
21.5,4,121.0,110.0,2600.0,12.8,77,2,bmw 320i,23.636363636363637
21.5,3,80.0,110.0,2720.0,13.5,77,3,mazda rx-4,24.727272727272727
43.1,4,90.0,48.0,1985.0,21.5,78,2,volkswagen rabbit custom diesel,41.354166666666664
36.1,4,98.0,66.0,1800.0,14.4,78,1,ford fiesta,27.272727272727273
32.8,4,78.0,52.0,1985.0,19.4,78,3,mazda glc deluxe,38.17307692307692
39.4,4,85.0,70.0,2070.0,18.6,78,3,datsun b210 gx,29.571428571428573
36.1,4,91.0,60.0,1800.0,16.4,78,3,honda civic cvcc,30.0
19.9,8,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham,30.59090909090909
19.4,8,318.0,140.0,3735.0,13.2,78,1,dodge diplomat,26.678571428571427
20.2,8,302.0,139.0,3570.0,12.8,78,1,mercury monarch ghia,25.68345323741007
19.2,6,231.0,105.0,3535.0,19.2,78,1,pontiac phoenix lj,33.666666666666664
20.5,6,200.0,95.0,3155.0,18.2,78,1,chevrolet malibu,33.21052631578947
20.2,6,200.0,85.0,2965.0,15.8,78,1,ford fairmont (auto),34.88235294117647
25.1,4,140.0,88.0,2720.0,15.4,78,1,ford fairmont (man),30.90909090909091
20.5,6,225.0,100.0,3430.0,17.2,78,1,plymouth volare,34.3
19.4,6,232.0,90.0,3210.0,17.2,78,1,amc concord,35.666666666666664
20.6,6,231.0,105.0,3380.0,15.8,78,1,buick century special,32.19047619047619
20.8,6,200.0,85.0,3070.0,16.7,78,1,mercury zephyr,36.11764705882353
18.6,6,225.0,110.0,3620.0,18.7,78,1,dodge aspen,32.90909090909091
18.1,6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l,28.416666666666668
19.2,8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau,23.620689655172413
17.7,6,231.0,165.0,3445.0,13.4,78,1,buick regal sport coupe (turbo),20.87878787878788
18.1,8,302.0,139.0,3205.0,11.2,78,1,ford futura,23.057553956834532
17.5,8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe,29.142857142857142
30.0,4,98.0,68.0,2155.0,16.5,78,1,chevrolet chevette,31.691176470588236
27.5,4,134.0,95.0,2560.0,14.2,78,3,toyota corona,26.94736842105263
27.2,4,119.0,97.0,2300.0,14.7,78,3,datsun 510,23.711340206185568
30.9,4,105.0,75.0,2230.0,14.5,78,1,dodge omni,29.733333333333334
21.1,4,134.0,95.0,2515.0,14.8,78,3,toyota celica gt liftback,26.473684210526315
23.2,4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo,26.142857142857142
23.8,4,151.0,85.0,2855.0,17.6,78,1,oldsmobile starfire sx,33.588235294117645
23.9,4,119.0,97.0,2405.0,14.9,78,3,datsun 200-sx,24.79381443298969
20.3,5,131.0,103.0,2830.0,15.9,78,2,audi 5000,27.475728155339805
17.0,6,163.0,125.0,3140.0,13.6,78,2,volvo 264gl,25.12
21.6,4,121.0,115.0,2795.0,15.7,78,2,saab 99gle,24.304347826086957
16.2,6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl,25.639097744360903
31.5,4,89.0,71.0,1990.0,14.9,78,2,volkswagen scirocco,28.028169014084508
29.5,4,98.0,68.0,2135.0,16.6,78,3,honda accord lx,31.397058823529413
21.5,6,231.0,115.0,3245.0,15.4,79,1,pontiac lemans v6,28.217391304347824
19.8,6,200.0,85.0,2990.0,18.2,79,1,mercury zephyr 6,35.1764705882353
22.3,4,140.0,88.0,2890.0,17.3,79,1,ford fairmont 4,32.84090909090909
20.2,6,232.0,90.0,3265.0,18.2,79,1,amc concord dl 6,36.27777777777778
20.6,6,225.0,110.0,3360.0,16.6,79,1,dodge aspen 6,30.545454545454547
17.0,8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic,29.53846153846154
17.6,8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau,28.875968992248062
16.5,8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis,28.659420289855074
18.2,8,318.0,135.0,3830.0,15.2,79,1,dodge st. regis,28.37037037037037
16.9,8,350.0,155.0,4360.0,14.9,79,1,buick estate wagon (sw),28.129032258064516
15.5,8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw),28.549295774647888
19.2,8,267.0,125.0,3605.0,15.0,79,1,chevrolet malibu classic (sw),28.84
18.5,8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw),26.266666666666666
31.9,4,89.0,71.0,1925.0,14.0,79,2,vw rabbit custom,27.112676056338028
34.1,4,86.0,65.0,1975.0,15.2,79,3,maxda glc deluxe,30.384615384615383
35.7,4,98.0,80.0,1915.0,14.4,79,1,dodge colt hatchback custom,23.9375
27.4,4,121.0,80.0,2670.0,15.0,79,1,amc spirit dl,33.375
25.4,5,183.0,77.0,3530.0,20.1,79,2,mercedes benz 300d,45.84415584415584
23.0,8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado,31.2
27.2,4,141.0,71.0,3190.0,24.8,79,2,peugeot 504,44.929577464788736
23.9,8,260.0,90.0,3420.0,22.2,79,1,oldsmobile cutlass salon brougham,38.0
34.2,4,105.0,70.0,2200.0,13.2,79,1,plymouth horizon,31.428571428571427
34.5,4,105.0,70.0,2150.0,14.9,79,1,plymouth horizon tc3,30.714285714285715
31.8,4,85.0,65.0,2020.0,19.2,79,3,datsun 210,31.076923076923077
37.3,4,91.0,69.0,2130.0,14.7,79,2,fiat strada custom,30.869565217391305
28.4,4,151.0,90.0,2670.0,16.0,79,1,buick skylark limited,29.666666666666668
28.8,6,173.0,115.0,2595.0,11.3,79,1,chevrolet citation,22.565217391304348
26.8,6,173.0,115.0,2700.0,12.9,79,1,oldsmobile omega brougham,23.47826086956522
33.5,4,151.0,90.0,2556.0,13.2,79,1,pontiac phoenix,28.4
41.5,4,98.0,76.0,2144.0,14.7,80,2,vw rabbit,28.210526315789473
38.1,4,89.0,60.0,1968.0,18.8,80,3,toyota corolla tercel,32.8
32.1,4,98.0,70.0,2120.0,15.5,80,1,chevrolet chevette,30.285714285714285
37.2,4,86.0,65.0,2019.0,16.4,80,3,datsun 310,31.06153846153846
28.0,4,151.0,90.0,2678.0,16.5,80,1,chevrolet citation,29.755555555555556
26.4,4,140.0,88.0,2870.0,18.1,80,1,ford fairmont,32.61363636363637
24.3,4,151.0,90.0,3003.0,20.1,80,1,amc concord,33.36666666666667
19.1,6,225.0,90.0,3381.0,18.7,80,1,dodge aspen,37.56666666666667
34.3,4,97.0,78.0,2188.0,15.8,80,2,audi 4000,28.05128205128205
29.8,4,134.0,90.0,2711.0,15.5,80,3,toyota corona liftback,30.122222222222224
31.3,4,120.0,75.0,2542.0,17.5,80,3,mazda 626,33.89333333333333
37.0,4,119.0,92.0,2434.0,15.0,80,3,datsun 510 hatchback,26.456521739130434
32.2,4,108.0,75.0,2265.0,15.2,80,3,toyota corolla,30.2
46.6,4,86.0,65.0,2110.0,17.9,80,3,mazda glc,32.46153846153846
27.9,4,156.0,105.0,2800.0,14.4,80,1,dodge colt,26.666666666666668
40.8,4,85.0,65.0,2110.0,19.2,80,3,datsun 210,32.46153846153846
